Domain,Unique Subdomains,Times Looked Up
srx8hcynnistgtuttgom+v6fxheg7xiw4upxffnnnua=.attacker.com,1,2
djfsxxqu0bt4bkqsm0olhcxlqwqhrtuynqxfm/yfnam=.attacker.com,1,2
qo+iiihtwrnwlumotlqa0iwqm8pl9ib3xu7e4zv/hh0=.attacker.com,1,2
s/fhslow8xcrjjrndszvwa+agjfkcnutao66oezqou0=.attacker.com,1,3
ivla7k3jrkc+4/v/ecjy9mcma8hvxt74rt4ui++urow=.attacker.com,1,2
cjf9juv/rz4uihjov+porihcifbqq4qeaiomovujfs4=.attacker.com,1,2
e7pt52kqxdaspbvmse4huzlm0adj1jcpxkst8ykgsau=.attacker.com,1,2
ymfairv8ylm1pamdehdxsllsiw3jfkw2e2ejbekmhnm=.attacker.com,1,3
8ymho0zkp6s3dla80dsxjpw5c7csemvtdoeda75crmw=.attacker.com,1,2
5pckmdcoqxx1pzruhu/tpk7ygwjxulfxxqqbiqlvw+c=.attacker.com,1,2
awcp6ovttyuwgobqg10wfs+uonb8lo+abgcbuyxf6nq=.attacker.com,1,2
17qa8epmgporprxtito+ugmf9ynvorvsiwkueneay/q=.attacker.com,1,2
x57tifdukoyfhz3e4yvqan7degpqitut60keemgive0=.attacker.com,1,2
szcyi8e4fdga6f0pt+vc7pzxjizhckincj6kno2xdya=.attacker.com,1,2
7x5sf88titv2vtldwr6lcxh1d/hu8c1b0k8hvoc+ets=.attacker.com,1,2
loj8mfowb1/tyomkem5ldqgnllu1uptia1zuilw8esk=.attacker.com,1,3
7qzcjafsgu77heqyjgavakbumefprhilfjr6kse1f/c=.attacker.com,1,2
mi2am6j/oujghp7dty5rmpo4r/789iiwisqmfjymkro=.attacker.com,1,2
t2ciyk2bm59/quju+yjouexnbdd7lpjsrzxzzo/ottw=.attacker.com,1,2
pvj5ggufraawwjrllubqoi8x9js+qaznyl0bzalo/lw=.attacker.com,1,2
vo02/7bw+azpriyjbcdtui+wodsfedzkk3djlf5hinm=.attacker.com,1,2
63a7iy2cx2tun7qv9rsb3jhdfbqnfsq0fe1eu/9jqkc=.attacker.com,1,2
yixlw2fcenain52tt1fedcxlggqr3xdtyiqb85fufeu=.attacker.com,1,2
dhv0swwozqccpjucdp4yhuxi7ohmjj1ny1rdzs0vonu=.attacker.com,1,3
axvoe0qnpivzzzjq5m8f6m0lrqmf7bkqs4++osyuc/k=.attacker.com,1,2
tjqtqhlj+clrz1iic4scirpl4cqfdq9xa/332ory0ek=.attacker.com,1,2
